,Var1,Var2,Var3,Var4,Var5,Var7,Var8,Var9,Var10,Var11,Var12,Var17,Var18,Var19,Var20,Var24,Var25,Var26,Var27,Var29,Var30,_r_,Credit_Duration_0_40,Credit_Duration_40_60,Credit_Duration_80_120,Credit_Duration_120+,UnemployedPrimaryNoCash,UnemployedPrimaryNoSavings
0,1,3.0,1.0,4800,15,463.31,0.0,4200,0.0,2,0.0,2436.83,-1.0,-1.0,2,0,4977.87,14880.28,0,70,3899,0.48567445,True,False,False,False,False,False
1,2,2.0,1.0,6800,18,3170.4,0.0,5880,3700.0,5,6.0,4430.26,1.0,-1.0,1,29400,7922.9,6534.84,0,0,3899,0.267044506,True,False,False,False,False,False
2,1,3.0,1.0,4600,18,355.36,0.0,4200,0.0,5,0.0,1695.92,-1.0,-1.0,0,0,3174.15,16974.69,0,0,3899,0.793579338,True,False,False,False,False,False
3,2,2.0,2.0,7900,48,231.34,0.0,4200,5400.0,5,5.0,2986.63,0.0,-1.0,0,0,4972.82,3484.36,0,10,3899,0.533039565,False,True,False,False,False,False
4,2,1.0,1.0,9900,63,639.45,11900.0,3120,3300.0,4,5.0,3785.22,-1.0,0.0,3,0,2278.22,9630.53,0,10,3899,0.781268516,False,False,False,False,False,False
5,2,1.0,1.0,13700,33,562.17,17200.0,4440,2800.0,5,5.0,2720.52,-1.0,0.0,0,0,3609.84,17218.45,0,10,3899,0.861554813,True,False,False,False,False,False
6,1,2.0,1.0,8000,42,254.21,0.0,5160,0.0,6,0.0,1677.35,1.0,-1.0,0,0,7333.45,17218.45,0,0,3899,0.308444007,False,True,False,False,False,False
7,1,3.0,2.0,3800,21,257.3,0.0,3120,0.0,5,0.0,1227.13,-1.0,-1.0,0,0,3874.63,5305.15,0,10,3899,0.50645142,True,False,False,False,False,False
8,1,1.0,2.0,13300,42,433.76,19800.0,3000,0.0,5,0.0,1270.98,-1.0,0.0,0,0,8863.87,17218.45,0,0,3899,0.509975182,False,True,False,False,False,False
9,4,1.0,2.0,18100,42,613.04,20900.0,4800,2400.0,5,5.0,3637.05,-1.0,0.0,0,0,3290.99,17218.45,0,40,3899,0.21091332,False,True,False,False,False,False
